Type,company,Matching,dealCreateDate,meetingDate
Control,Virtual IT Services Pty Limited,Virtual IT Services Pty Limited,,
Control,Secure Agility Pty Limited,Secure Agility Pty Limited,,
Control,Claratti Workspace  - T/as INTELLIGENT IP HOSTING,Claratti Workspace  - T/as INTELLIGENT IP HOSTING,,
Control,Zeara Managed Services Pty Ltd,Zeara Managed Services Pty Ltd,,
Control,Quantum Networks Pty Ltd,Quantum Networks Pty Ltd,,
Control,YesIT Group Pty Ltd,YesIT Group Pty Ltd,,
Control,Astron Technology Pty Ltd,Astron Technology Pty Ltd,,
Control,1Step Communications Pty Ltd,1Step Communications Pty Ltd,,
Control,Corporate IT Connect Pty Ltd,Corporate IT Connect Pty Ltd,,
Control,Thomas Peer Solutions Pty Ltd,Thomas Peer Solutions Pty Ltd,,
Control,Clear Technology Pty Ltd,Clear Technology Pty Ltd,,
Control,Converged Communication Network Applications Pty Ltd,Converged Communication Network Applications Pty Ltd,,
Control,EASYWEB DIGITAL PTY LTD,EASYWEB DIGITAL PTY LTD,,
Control,UniTech Solutions,UniTech Solutions,,
Control,Addcom Technologies Pty Ltd,Addcom Technologies Pty Ltd,,
Control,CONNIX PTY LTD,CONNIX PTY LTD,,
Control,Cube Networks Pty Ltd,Cube Networks Pty Ltd,,
Control,JUN TEC PTY LTD ATF THE JUN TEC TRUST,JUN TEC PTY LTD ATF THE JUN TEC TRUST,,
Control,SCALABLE TELECOM SOLUTIONS PTY LTD,SCALABLE TELECOM SOLUTIONS PTY LTD,,
Control,Centre Com Sunshine Pty Ltd,Centre Com Sunshine Pty Ltd,,
Control,SIS Group Pty Ltd T/A Amaze Communication,SIS Group Pty Ltd T/A Amaze Communication,,
Control,Cyber Audit Team Pty Ltd,Cyber Audit Team Pty Ltd,,
Control,Lightning Comms Pty Ltd,Lightning Comms Pty Ltd,,
Control,PLATINUM TECHNOLOGY MANAGED SERVICES PTY LTD,PLATINUM TECHNOLOGY MANAGED SERVICES PTY LTD,,
Control,SecureCentral - ( L YANG & SM BONG ),SecureCentral - ( L YANG & SM BONG ),,
Control,Content Security Pty Ltd,Content Security Pty Ltd,,
Control,OPTUS ADMINISTRATION PTY LTD,OPTUS ADMINISTRATION PTY LTD,,
Control,CyberPulse Pty Ltd,CyberPulse Pty Ltd,,
Control,Reconnected Pty Ltd,Reconnected Pty Ltd,,
Control,Business Technology Group Australia Pty Ltd,Business Technology Group Australia Pty Ltd,,
Control,Managed System Services Pty. Ltd. (Trading as MSS Information Technology),Managed System Services Pty. Ltd. (Trading as MSS Information Technology),,
Control,Reseau NSW Pty Ltd,Reseau NSW Pty Ltd,,
Control,Stuff That Works Pty Limited,Stuff That Works Pty Limited,,
Control,TECHD PTY LTD,TECHD PTY LTD,,
Control,Next-Tel Communications,Next-Tel Communications,,
Control,Michael Hallam t/a Xena,Michael Hallam t/a Xena,,
Control,Accucom Systems Integration Pty Limited,Accucom Systems Integration Pty Limited,,
Control,Live Communications Pty Ltd t/a UPTI,Live Communications Pty Ltd t/a UPTI,,
